Country Name;Country Code;Indicator Name;Indicator Code;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Côte d'Ivoire;CIV;Área selvática (% del área de tierra);AG.LND.FRST.ZS;24.68823899;23.8214434;22.9546478;22.0878522;21.2210566;20.35426101;19.48746541;18.62066981;17.75387421;16.88707862;16.02028302;15.66529245;15.31030189;14.95531132;14.60032075;14.24533019;13.89033962;13.53534906;13.18035849;12.82536792;12.47037736;12.11538994;11.76040252;11.40541509;11.05042767;10.69544025;10.34044025;9.985440252;9.630440252;9.275471698;8.920471698;8.565492767;8.210499686
Camerún;CMR;Área selvática (% del área de tierra);AG.LND.FRST.ZS;47.597893;47.40697045;47.21604789;47.02512534;46.83420279;46.64328024;46.45235768;46.26143513;46.07051258;45.87959002;45.68866747;45.54121766;45.39376785;45.24631804;45.09886823;44.95141842;44.80396861;44.6565188;44.50906899;44.36161917;44.21416936;44.0957035;43.97723763;43.85877176;43.7403059;43.62184003;43.50337416;43.38490829;43.26644243;43.14797656;43.02951069;42.91104483;42.79257896
Congo; República Democrática del;COD;Área selvática (% del área de tierra);;66.44273395;66.14587239;65.84901083;65.55214927;65.25528771;64.95842615;64.66156459;64.36470303;64.06784147;63.77097991;63.47411835;63.17725679;62.88039523;62.58353367;62.28667211;61.98981055;61.69294899;61.39608743;61.09922587;60.80236431;60.50550275;60.01968373;59.53386471;59.0480457;58.56222668;58.07640767;57.59058689;57.10477052;56.61894974;56.13312896;55.64731259;55.16149326
Congo; República del;COG;Área selvática (% del área de tierra);;65.34407028;65.30893119;65.27379209;65.238653;65.20351391;65.16837482;65.13323572;65.09809663;65.06295754;65.02781845;64.99267936;64.95754026;64.92240117;64.88726208;64.85212299;64.81698389;64.7818448;64.74670571;64.71156662;64.67642753;64.64128843;64.60614934;64.57101025;64.53587116;64.50073206;64.46559297;64.43045388;64.39531479;64.35139092;64.30746706;64.26354319;64.21961933
Colombia;COL;Área selvática (% del área de tierra);AG.LND.FRST.ZS;58.54721947;58.34689139;58.14656332;57.94623524;57.74590717;57.54557909;57.34525101;57.14492294;56.94459486;56.74426679;56.54393871;56.37019288;56.19644705;56.02270122;55.84895539;55.67520955;55.50146372;55.32771789;55.15397206;54.98022623;54.8064804;54.68514105;54.56380171;54.44246237;54.32112303;54.19978369;54.04190176;53.84386661;53.66424516;53.48463272;53.30501127;53.12539585;52.94577639
Comoras;COM;Área selvática (% del área de tierra);AG.LND.FRST.ZS;24.75013434;24.514777;24.27941967;24.04406233;23.808705;23.57334766;23.33799033;23.10263299;22.86727566;22.63191832;22.39656099;22.16120365;21.92584632;21.69048898;21.45513165;21.21977431;20.98441698;20.74905965;20.51370231;20.27834498;20.04298764;19.80763031;19.57227297;19.33691564;19.1015583;18.86620097;18.62976894;18.39333692;18.16227834;17.92584632;17.68941429;17.45298227;17.21655024
Cabo Verde;CPV;Área selvática (% del área de tierra);AG.LND.FRST.ZS;3.816377171;4.420347395;5.024317618;5.628287841;6.232258065;6.836228288;7.440198511;8.044168734;8.648138958;9.252109181;9.856079404;9.930521092;10.00496278;10.07940447;10.15384615;10.22828784;10.30272953;10.37717122;10.4516129;10.52605459;10.60049628;10.67493797;10.74937965;10.82382134;10.89826303;10.97270471;11.0471464;11.12158809;11.19602978;11.27047146;11.34491315;11.41935484;11.49379653
Costa Rica;CRI;Área selvática (% del área de tierra);AG.LND.FRST.ZS;56.9408539;56.84257736;56.74430082;56.64602429;56.54774775;56.44947121;56.35119467;56.25291814;56.1546416;56.05636506;55.95808852;55.98546808;56.01284763;56.04022718;56.06760674;56.09498629;56.12236584;56.1497454;56.17712495;56.2045045;56.23188406;56.55240893;56.8729338;57.19345868;57.51398355;57.83450842;58.15511163;58.47571485;58.79612221;59.11672542;59.43732863;59.75793184;60.07853506
Estados pequeos del Caribe;CSS;Área selvática (% del área de tierra);AG.LND.FRST.ZS;92.10503338;92.04967463;91.99431588;91.93895713;91.88359838;91.82823963;91.77288088;91.71752213;91.66216338;91.60680463;91.55144588;91.51223872;91.47303157;91.43382442;91.39461727;91.35541012;91.31620296;91.27699581;91.23778866;91.19858151;91.15937435;91.07522031;90.99106626;90.90691222;90.82275818;90.73860413;90.65784614;90.58735766;90.50433733;90.42124074;90.33822041;90.25514898;90.17211187
Cuba;CUB;Área selvática (% del área de tierra);AG.LND.FRST.ZS;19.16201117;19.51303538;19.86405959;20.2150838;20.56610801;20.91713222;21.26815642;21.61918063;21.97020484;22.32122905;22.67225326;23.13500931;23.82178776;24.28665414;24.75143314;25.2113867;25.68072912;26.14524615;26.61217587;27.0791056;27.54603533;27.90863068;28.43720991;29.58357321;30.12497597;30.58597502;31.1514802;31.23314066;31.23314066;31.23314066;31.23314066;31.23314066;31.23314066
Curacao;CUW;Área selvática (% del área de tierra);AG.LND.FRST.ZS;;;;;;;;;;;;;;;;;;;;;;0.157657658;0.157657658;0.157657658;0.157657658;0.157657658;0.157657658;0.157657658;0.157657658;0.157657658;0.157657658;0.157657658;0.157657658
Islas Caimán;CYM;Área selvática (% del área de tierra);AG.LND.FRST.ZS;54.70833333;54.625;54.54166667;54.45833333;54.375;54.29166667;54.20833333;54.125;54.04166667;53.95833333;53.875;53.7875;53.7;53.6125;53.525;53.4375;53.35;53.2625;53.175;53.0875;53;53;53;53;53;53;53;53;53.375;53;53;52.75;52.66666667
Chipre;CYP;Área selvática (% del área de tierra);AG.LND.FRST.ZS;17.43614719;17.54978355;17.66341991;17.77705628;17.89069264;18.004329;18.11796537;18.23160173;18.3452381;18.45887446;18.57251082;18.58582251;18.5991342;18.61244589;18.62575758;18.63906926;18.65238095;18.66569264;18.67900433;18.69231602;18.70562771;18.70281385;18.7;18.69718615;18.69437229;18.69155844;18.68073593;18.67857143;18.67640693;18.67424242;18.67207792;18.66991342;18.66774892
República Checa;CZE;Área selvática (% del área de tierra);AG.LND.FRST.ZS;;;;34.05954445;34.06972952;34.07991459;34.09009965;34.10028472;34.11046978;34.12065485;34.13083991;34.15683965;34.18283939;34.20883914;34.23927;34.2652731;34.29571521;34.32172168;34.35217504;34.37818488;34.40864949;34.43716172;34.46567396;34.4986532;34.52716913;34.5601606;34.57907007;34.60251263;34.62595519;34.65141732;34.67799193;34.70669802;34.73694318
Alemania;DEU;Área selvática (% del área de tierra);AG.LND.FRST.ZS;32.36616733;32.38163435;32.39710137;32.41349679;32.42989316;32.44629046;32.4626887;32.48187939;32.50014326;32.51934208;32.53761284;32.55803955;32.57753827;32.59797598;32.6174843;32.6341897;32.65370498;32.67416181;32.69368672;32.71133932;32.73087185;32.73754877;32.74516555;32.71898647;32.72284322;32.73232815;32.68548202;32.68454647;32.68361097;32.68267552;32.68267552;32.68267552;32.68548202
Djibouti;DJI;Área selvática (% del área de tierra);AG.LND.FRST.ZS;0.241587575;0.241587575;0.241587575;0.241587575;0.241587575;0.241587575;0.241587575;0.241587575;0.241587575;0.241587575;0.241587575;0.241587575;0.241587575;0.241587575;0.241587575;0.241587575;0.241587575;0.241587575;0.241587575;0.241587575;0.241587575;0.241587575;0.241587575;0.241587575;0.241587575;0.241587575;0.241587575;0.242018982;0.243313201;0.245901639;0.250215703;0.253377912;0.257308024
Dominica;DMA;Área selvática (% del área de tierra);AG.LND.FRST.ZS;67.08;66.75466667;66.42933333;66.104;65.77866667;65.45333333;65.128;64.80266667;64.47733333;64.152;63.82666667;63.82666667;63.82666667;63.82666667;63.82666667;63.82666667;63.82666667;63.82666667;63.82666667;63.82666667;63.82666667;63.82666667;63.82666667;63.82666667;63.82666667;63.82666667;63.82666667;63.82666667;63.82666667;63.82666667;63.82666667;63.82666667;63.82666667
